[21478, 5106]
[22253, 5865]
[21466, 5105]
[25321, 7835]
[59539, 20457]
[1749, 787]
[4990, 398]
[16234, 2722]
[16243, 2722]
[428, 551]
[27238, 8086]
[59527, 20912]
[37529, 13431]
[37505, 13495]
[1994, 787]
[1003, 65]
[59543, 20476]
[16236, 2722]
[15094, 2288]
[59557, 20437]
[21474, 5106]
[38020, 13669]
[21462, 5105]
[1158, 216]
[21471, 5105]
[183, 565]
[37534, 13431]
[1886, 787]
[21483, 5106]
[3627, 357]
[16229, 2722]
[37502, 13495]
[16245, 2722]
[25582, 9298]
[1308, 1242]
[21464, 5105]
[22098, 5847]
[21473, 5105]
[14534, 559]
[16244, 2722]
[59739, 21695]
[1590, 787]
[38008, 13627]
[21485, 5106]
[60017, 20432]
[37302, 13386]
[16237, 2722]
[37504, 13495]
[27649, 8842]
[59559, 20621]
[331, 649]
[16233, 2722]
[2088, 787]
[21477, 5106]
[21465, 5105]
[25320, 7835]
[58726, 21285]
[384, 649]
[59927, 19379]
[16242, 2722]
[376, 551]
[25856, 8070]
[59525, 20432]
[21486, 5106]
[17486, 3318]
[37497, 13495]
[1332, 1327]
[15808, 466]
[16235, 2722]
[38041, 9906]
[59533, 21098]
[10511, 2060]
[21479, 5106]
[59558, 20614]
[21467, 5105]
[60015, 20432]
[20956, 4070]
[59548, 20617]
[23561, 6700]
[21481, 5106]
[21469, 5105]
[23889, 7056]
[59560, 19780]
[16230, 2722]
[16246, 2722]
[58586, 20432]
[16670, 2977]
[59181, 21417]
[59524, 20443]
[37530, 13431]
[16239, 2722]
[37507, 13497]
[61137, 20879]
[59551, 20508]
[1689, 787]
[50675, 16373]
[26620, 8405]
[16232, 2722]
[37499, 13495]
[16248, 2722]
[28370, 13545]
[21476, 5106]
[6181, 1919]
[43092, 14803]
[58697, 21421]
[41530, 15481]
[47409, 17916]
[64622, 23100]
[61540, 22589]
[64518, 23021]
[64438, 23462]
[60438, 22319]
[60610, 20613]
[60819, 19242]
[64545, 23468]
[64520, 23505]
[62143, 22770]
[64431, 23461]
[61297, 20365]
[64527, 23074]
[62182, 22806]
[56939, 20820]
[61669, 22651]
[64550, 23012]
[64406, 23454]
[64457, 23016]
[64449, 23467]
[59325, 21599]
[64383, 23448]
[64401, 23283]
[60590, 20780]
[60436, 22317]
[64389, 23450]
[64396, 23452]
[57200, 20874]
[61285, 22533]
[64408, 23455]
[64380, 23447]
[64450, 23468]
[64417, 23456]
[64400, 23096]
[62258, 22881]
[64279, 22997]
[64292, 23425]
[64288, 23018]
[64294, 23427]
[64277, 23017]
[64285, 23020]
[64283, 23044]
[64293, 23426]
[64246, 23144]
[64257, 23101]
[64270, 23421]
[64274, 23424]
[64259, 23020]
[64269, 23012]
[64242, 23021]
[64265, 23417]
[62135, 22762]
[64205, 23262]
[64221, 22929]
[57834, 21065]
[64215, 23026]
[62154, 22781]
[64209, 23040]
[63958, 23279]
[63982, 23103]
[64212, 23160]
[56392, 20678]
[61520, 23058]
[61127, 22485]
[61359, 22545]
[64207, 23017]
