[21478, 5106]
[22253, 5865]
[21466, 5105]
[25321, 7835]
[59539, 20457]
[1749, 787]
[4990, 398]
[16234, 2722]
[16243, 2722]
[428, 551]
[27238, 8086]
[59527, 20912]
[37529, 13431]
[37505, 13495]
[1994, 787]
[1003, 65]
[59543, 20476]
[16236, 2722]
[15094, 2288]
[59557, 20437]
[428, 551]
[21474, 5106]
[38020, 13669]
[21462, 5105]
[1158, 216]
[21471, 5105]
[4990, 398]
[183, 565]
[37534, 13431]
[16236, 2722]
[59539, 20457]
[1886, 787]
[21483, 5106]
[3627, 357]
[59527, 20912]
[16229, 2722]
[37502, 13495]
[16245, 2722]
[25582, 9298]
[1308, 1242]
[21464, 5105]
[59543, 20476]
[22098, 5847]
[21473, 5105]
[14534, 559]
[59557, 20437]
[16244, 2722]
[59739, 21695]
[1590, 787]
[38008, 13627]
[21485, 5106]
[25321, 7835]
[60017, 20432]
[37302, 13386]
[16237, 2722]
[37504, 13495]
[27649, 8842]
[59559, 20621]
[331, 649]
[1749, 787]
[16233, 2722]
[2088, 787]
[21477, 5106]
[21465, 5105]
[25320, 7835]
[58726, 21285]
[384, 649]
[37529, 13431]
[59927, 19379]
[37505, 13495]
[16242, 2722]
[376, 551]
[25856, 8070]
[59525, 20432]
[21486, 5106]
[17486, 3318]
[37497, 13495]
[1332, 1327]
[15808, 466]
[16235, 2722]
[25320, 7835]
[38020, 13669]
[38041, 9906]
[37534, 13431]
[16242, 2722]
[376, 551]
[25856, 8070]
[59533, 21098]
[10511, 2060]
[21486, 5106]
[17486, 3318]
[1332, 1327]
[16235, 2722]
[37502, 13495]
[21479, 5106]
[59558, 20614]
[21467, 5105]
[60015, 20432]
[20956, 4070]
[16244, 2722]
[59548, 20617]
[23561, 6700]
[38008, 13627]
[37302, 13386]
[16237, 2722]
[37504, 13495]
[27649, 8842]
[21481, 5106]
[2088, 787]
[21469, 5105]
[23889, 7056]
[59560, 19780]
[16230, 2722]
[16246, 2722]
[21474, 5106]
[21462, 5105]
[58586, 20432]
[16670, 2977]
[331, 649]
[59181, 21417]
[59524, 20443]
[37530, 13431]
[16239, 2722]
[37507, 13497]
[15808, 466]
[61137, 20879]
[59551, 20508]
[21483, 5106]
[1689, 787]
[21471, 5105]
[50675, 16373]
[26620, 8405]
[16232, 2722]
[25582, 9298]
[37499, 13495]
[16248, 2722]
[28370, 13545]
[21476, 5106]
[21464, 5105]
[6181, 1919]
[43092, 14803]
[58697, 21421]
[41530, 15481]
[47409, 17916]
[64622, 23100]
[61540, 22589]
[64518, 23021]
[64438, 23462]
[60438, 22319]
[60610, 20613]
[60819, 19242]
[64545, 23468]
[64520, 23505]
[62143, 22770]
[64431, 23461]
[61297, 20365]
[64527, 23074]
[62182, 22806]
[56939, 20820]
[61669, 22651]
[64550, 23012]
[61540, 22589]
[64518, 23021]
[64438, 23462]
[64406, 23454]
[64457, 23016]
[64449, 23467]
[59325, 21599]
[64383, 23448]
[64401, 23283]
[60590, 20780]
[60436, 22317]
[64389, 23450]
[64396, 23452]
